Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
122500;	69 0.0876951 0.083448;	67 0.0876951 0.0935028;	67 0.0876951 0.0935028;	65 0.0876953 0.093164;	65 0.0876954 0.0935028;	68 0.0876956 0.0935028;	68 0.0876956 0.0837867;	
125000;	69 0.0876951 0.083448;	67 0.0876951 0.0935028;	67 0.0876951 0.0935028;	65 0.0876953 0.093164;	65 0.0876954 0.0935028;	68 0.0876956 0.0935028;	68 0.0876956 0.0837867;	
127500;	69 0.0876951 0.083448;	67 0.0876951 0.0935028;	67 0.0876951 0.0935028;	65 0.0876953 0.093164;	65 0.0876954 0.0935028;	68 0.0876956 0.0935028;	68 0.0876956 0.0837867;	
130000;	69 0.0876951 0.083448;	67 0.0876951 0.0935028;	66 0.0876951 0.0935028;	65 0.0876953 0.093164;	64 0.0876954 0.0935028;	68 0.0876956 0.0935028;	67 0.0876956 0.0935028;	
132500;	69 0.0876951 0.083448;	67 0.0876951 0.0935028;	66 0.0876951 0.0935028;	65 0.0876953 0.093164;	64 0.0876954 0.0935028;	68 0.0876956 0.0935028;	67 0.0876956 0.0935028;	
135000;	69 0.0876951 0.083448;	69 0.0876951 0.083448;	99 0.20192 0.0935028;	94 0.20204 0.0935028;	103 0.202069 0.0935028;	101 0.203223 1.#INF;	99 0.2035 1.#INF;	
137500;	69 0.0876951 0.083448;	69 0.0876951 0.083448;	71 0.138097 1.#INF;	70 0.159378 0.0935028;	72 0.159518 0.0935028;	73 0.182133 1.#INF;	71 0.186366 1.#INF;	
140000;	69 0.0876951 0.083448;	69 0.0876951 0.083448;	73 0.0905567 1.#INF;	69 0.0906296 0.0935028;	69 0.0911464 1.#INF;	70 0.0914077 0.0935028;	69 0.0922651 0.083448;	
142500;	69 0.0876951 0.083448;	69 0.0876951 0.083448;	69 0.0877493 0.083448;	69 0.0877514 0.083448;	69 0.0877632 0.083448;	69 0.0877675 0.083448;	67 0.0878418 0.083448;	
145000;	69 0.0876951 0.083448;	71 0.0875178 0.0907679;	71 0.087521 0.0907959;	69 0.0876951 0.083448;	70 0.0876993 0.083448;	69 0.0877022 0.083448;	69 0.0877036 0.083448;	
147500;	72 0.0870765 0.0867328;	76 0.0862334 0.0873009;	71 0.0862338 0.0872937;	73 0.0862347 0.0872936;	73 0.0862397 0.0873464;	72 0.086309 0.0873384;	72 0.0865032 0.0899079;	
150000;	72 0.0870765 0.0867328;	71 0.085748 0.0880049;	71 0.0857488 0.0880045;	76 0.0857496 0.0880032;	73 0.0857496 0.0880037;	75 0.0857508 0.0879825;	74 0.0857515 0.0879811;	
152500;	72 0.0870765 0.0867328;	70 0.0856782 0.0879985;	75 0.085689 0.0881891;	71 0.085744 0.0874189;	68 0.0857442 0.0880291;	70 0.0857445 0.0874666;	69 0.0857445 0.087443;	
