Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
177500;	75 0.125273 0.135249;	75 0.125273 0.135249;	76 0.125529 1.#INF;	77 0.126586 1.#INF;	77 0.126892 1.#INF;	75 0.127512 1.#INF;	78 0.130811 1.#INF;	
180000;	75 0.125273 0.135249;	81 0.119448 0.145605;	79 0.119464 0.14665;	79 0.120176 0.187065;	78 0.120192 0.149663;	77 0.120257 0.149989;	79 0.120357 0.149996;	
182500;	75 0.125273 0.135249;	85 0.116876 0.147816;	84 0.117699 0.146822;	81 0.117778 0.160297;	82 0.117941 0.160187;	83 0.117981 0.154711;	84 0.118043 0.148001;	
185000;	75 0.125273 0.135249;	82 0.116853 0.147794;	82 0.116875 0.146915;	82 0.116876 0.147816;	82 0.116963 0.14781;	84 0.116994 0.147181;	82 0.11708 0.147539;	
187500;	85 0.12525 0.134968;	81 0.116433 0.157303;	85 0.116433 0.156803;	81 0.116442 0.157303;	84 0.116442 0.156369;	83 0.116442 0.157213;	85 0.116462 0.157852;	
190000;	84 0.122015 0.128326;	89 0.114541 0.158103;	87 0.114879 0.148151;	85 0.115872 0.158077;	85 0.115872 0.149846;	87 0.115928 0.148243;	85 0.115928 0.147832;	
192500;	84 0.122015 0.128326;	87 0.10931 0.15411;	88 0.109489 0.160249;	88 0.110094 0.1607;	91 0.110138 0.16012;	91 0.110141 0.162548;	86 0.110288 0.160087;	
195000;	84 0.122015 0.128326;	88 0.107939 0.154031;	86 0.108116 0.154154;	88 0.108189 0.153723;	85 0.108283 0.154203;	91 0.108316 0.154795;	88 0.108361 0.153861;	
197500;	84 0.122015 0.128326;	90 0.1058 0.160199;	88 0.105804 0.160486;	91 0.1059 0.160323;	88 0.105924 0.160976;	93 0.106051 0.159951;	88 0.106059 0.159779;	
200000;	84 0.122015 0.128326;	84 0.10535 0.160437;	85 0.105433 0.160539;	85 0.10545 0.160594;	86 0.105552 0.160253;	86 0.105657 0.163794;	84 0.105701 0.160072;	
202500;	84 0.122015 0.128326;	82 0.10535 0.160437;	85 0.105359 0.160482;	83 0.105433 0.160539;	85 0.105442 0.160585;	83 0.10545 0.160594;	83 0.105552 0.160253;	
205000;	84 0.122015 0.128326;	82 0.10535 0.160437;	84 0.105359 0.160482;	82 0.105433 0.160539;	84 0.105442 0.160585;	83 0.10545 0.160594;	85 0.105459 0.160641;	
207500;	84 0.122015 0.128326;	82 0.105193 0.160305;	84 0.105202 0.16035;	82 0.105216 0.160424;	84 0.105225 0.16047;	83 0.105302 0.160341;	85 0.105311 0.160389;	
210000;	84 0.122015 0.128326;	84 0.122015 0.128326;	110 0.247384 0.160341;	105 0.35408 0.160341;	92 0.354127 0.160341;	118 0.355061 0.160341;	123 0.356583 0.160341;	
212500;	84 0.122015 0.128326;	84 0.122015 0.128326;	85 0.131342 0.160341;	88 0.134399 0.160341;	92 0.140013 0.160341;	96 0.140223 0.160341;	86 0.141161 0.160341;	
