Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
137500;	63 0.11946 0.119278;	65 0.108904 0.154796;	68 0.109055 0.152096;	66 0.109123 0.148035;	65 0.109234 0.157102;	66 0.109278 0.145515;	66 0.109284 0.156797;	
140000;	63 0.11946 0.119278;	64 0.108904 0.154796;	66 0.109055 0.152096;	65 0.109123 0.148035;	64 0.109234 0.157102;	66 0.109278 0.145515;	65 0.109284 0.156797;	
142500;	63 0.11946 0.119278;	63 0.11946 0.119278;	98 0.254928 0.156797;	89 0.34667 0.152096;	88 0.351677 1.#INF;	75 0.354127 1.#INF;	102 0.356154 0.148035;	
145000;	63 0.11946 0.119278;	63 0.11946 0.119278;	67 0.186345 0.148035;	63 0.200326 1.#INF;	67 0.201126 1.#INF;	69 0.201465 0.156797;	99 0.202621 1.#INF;	
147500;	63 0.11946 0.119278;	63 0.114749 0.141638;	63 0.11946 0.119278;	63 0.124952 0.152096;	64 0.142374 0.152096;	64 0.163659 0.148035;	64 0.165007 1.#INF;	
150000;	63 0.11946 0.119278;	63 0.114749 0.141638;	65 0.115104 0.135911;	64 0.116807 0.149152;	63 0.11946 0.119278;	63 0.124952 0.152096;	66 0.128635 0.157102;	
152500;	63 0.11946 0.119278;	63 0.111071 0.148663;	64 0.111141 0.148049;	66 0.111258 0.147433;	66 0.113219 0.134146;	66 0.113275 0.147455;	64 0.113368 0.133187;	
155000;	63 0.11946 0.119278;	67 0.111006 0.155805;	63 0.111071 0.148663;	63 0.111141 0.148049;	64 0.111258 0.147433;	66 0.111355 0.146401;	64 0.111414 0.145851;	
157500;	63 0.11946 0.119278;	67 0.110173 0.162679;	69 0.110218 0.153645;	67 0.110262 0.152921;	67 0.110473 0.164465;	68 0.110633 0.16012;	67 0.110833 0.165106;	
160000;	63 0.11946 0.119278;	67 0.109055 0.152096;	66 0.109234 0.157102;	68 0.109262 0.150034;	67 0.10929 0.15428;	70 0.10931 0.152175;	67 0.10932 0.146798;	
162500;	63 0.11946 0.119278;	63 0.11946 0.119278;	85 0.353494 0.15428;	72 0.354127 0.152217;	100 0.356918 1.#INF;	94 0.362535 0.13698;	95 0.36276 0.15428;	
165000;	63 0.11946 0.119278;	63 0.11946 0.119278;	65 0.142738 0.154796;	70 0.198557 0.13698;	67 0.203027 0.15428;	98 0.20318 0.15428;	97 0.203396 1.#INF;	
167500;	63 0.11946 0.119278;	63 0.11946 0.119278;	65 0.120933 0.15428;	65 0.132298 0.119278;	63 0.137087 0.15428;	64 0.140925 0.13698;	65 0.142738 0.154796;	
170000;	63 0.11946 0.119278;	66 0.111071 0.148663;	68 0.112742 0.153291;	67 0.113114 0.15077;	63 0.114388 0.131226;	67 0.114749 0.141638;	68 0.116197 0.143851;	
172500;	63 0.11946 0.119278;	64 0.111071 0.148663;	65 0.111624 0.145589;	66 0.111966 0.149444;	66 0.112504 0.135395;	68 0.112742 0.153291;	65 0.113114 0.15077;	
175000;	63 0.11946 0.119278;	64 0.111071 0.148663;	65 0.111141 0.148049;	64 0.111258 0.147433;	64 0.111317 0.146755;	66 0.111499 0.146281;	67 0.111541 0.149722;	
177500;	63 0.11946 0.119278;	65 0.108697 0.145689;	63 0.10932 0.146798;	64 0.109642 0.145835;	64 0.109703 0.143566;	64 0.109875 0.147874;	66 0.11001 0.147461;	
180000;	66 0.109871 0.105526;	64 0.108636 0.144751;	64 0.108697 0.145689;	65 0.109123 0.148035;	63 0.10932 0.146798;	65 0.109347 0.14613;	66 0.109592 0.147785;	
182500;	66 0.109871 0.105526;	64 0.107152 0.140984;	66 0.107636 0.14144;	63 0.108636 0.144751;	63 0.108697 0.145689;	67 0.108786 0.134662;	65 0.108857 0.143409;	
185000;	66 0.109871 0.105526;	64 0.107152 0.140984;	63 0.107636 0.14144;	63 0.108636 0.144751;	63 0.108661 0.153569;	63 0.108697 0.145689;	64 0.108697 0.146988;	
187500;	68 0.0918922 0.093408;	65 0.0918922 0.093408;	66 0.0923432 0.0850671;	64 0.0924653 0.100487;	68 0.0927997 0.0842943;	66 0.0929961 0.0842943;	68 0.093736 0.0868827;	
190000;	67 0.0905939 0.0870107;	65 0.0905939 0.0870107;	67 0.0908647 0.0870107;	64 0.0912065 0.0872964;	68 0.0914203 0.0870107;	64 0.0914515 0.0870107;	71 0.0915304 0.0854217;	
192500;	68 0.0883067 0.0830799;	64 0.0883067 0.0830799;	67 0.0884446 0.0830799;	65 0.0885045 0.0830799;	68 0.0886977 0.0830799;	72 0.0888769 0.0830799;	67 0.0888995 0.0830799;	
195000;	73 0.08647 0.0811526;	73 0.08647 0.0811526;	68 0.0867467 0.0810144;	68 0.0869633 0.0810144;	66 0.0873635 0.0810144;	65 0.0873829 0.0830799;	66 0.087512 0.0810144;	
197500;	73 0.08647 0.0811526;	66 0.08647 0.0811526;	66 0.0867467 0.0811526;	67 0.0869633 0.0811526;	68 0.0870918 0.0810144;	68 0.0871232 0.0810144;	69 0.0872212 0.0811526;	
200000;	73 0.08647 0.0811526;	66 0.08647 0.0811526;	66 0.0867467 0.0811526;	67 0.0869633 0.0811526;	67 0.0870918 0.0811526;	67 0.0871232 0.0811526;	68 0.0872212 0.0811526;	
202500;	67 0.0863085 0.0805005;	67 0.0863085 0.0805005;	67 0.0864483 0.0805005;	66 0.08647 0.0811526;	68 0.0865352 0.0805005;	66 0.0867467 0.0811526;	67 0.0869628 0.0811526;	
205000;	68 0.0851929 0.0802583;	68 0.0851929 0.0802583;	68 0.0854222 0.0803656;	69 0.0856467 0.0811526;	69 0.085815 0.0776554;	67 0.0863085 0.0805005;	67 0.0864337 0.0802583;	
207500;	68 0.0851929 0.0802583;	68 0.0851929 0.0802583;	68 0.0854222 0.0803656;	68 0.0856339 0.0802583;	69 0.0856467 0.0811526;	69 0.0856613 0.0802583;	68 0.0858037 0.0802583;	
